ABI	0	77.13100393700789
ABLX	1	8.707634920634922
ACCB	1	0.01374576612903227
ACKB	0	88.3263582677165
AED	0.24561403508771928	50.86990157480314
AGS	1	31.352342519685035
AGFB	1	2.2407165354330707
RCUS	1	34.88150590551181
ASC	0	52.04470231707318
ATEB	1	37.58187992125984
BANI	1	8.455677165354327
BAR	0	56.338346456692875
BEFB	0	52.35404527559055
BEKB	1	27.54119094488188
BELG	1	22.63673228346456
BPOST	1	16.234557086614174
BREB	1	28.209679487179486
CARD	1	39.66642716535434
CFEB	0	73.22657480314962
CMB	1	21.087224409448822
COFB	0	87.75116141732285
COLR	1	40.210649606299214
CONN	1	1.865253937007874
GIMB	1	37.4699409448819
GLOG	1	1.6762195121951218
GRYFO	1	11.56231299212599
HAMO	1	15.078927165354331
HOMI	0	78.37033464566933
IBAB	1	9.151811023622047
IEP	1	6.470507874015751
IMMOU	0.5964912280701754	49.91854330708663
IMMO	1	39.25402559055119
INTO	1	21.416112204724413
JEN	1	14.128440000000003
KBC	1	43.7598031496063
KBCA	1	27.000403543307083
KEYW	1	0.7251653543307088
KIN	1	26.617581196581202
PIC	1	27.478484251968503
QRF	1	24.645614754098357
QFG	1	8.08489484126984
REA	1	21.543533464566927
REC	1	6.8626496062992155
BIL	1	9.522240157480317
RET	0	58.38832677165355
RHJI	1	3.6520688976377946
ROU	1	12.363070866141733
RTL	0	84.4730584251969
SAP	1	47.20569881889763
SIOE	1	9.169779527559056
LEAS	0	78.29511811023623
MDXH	1	3.8680787401574825
MELE	1	27.967194881889768
MIKO	0	66.89711864406783
MOBB	1	13.84994094488189
MONT	1	30.86252155511811
NYR	1	2.103783149606298
OIM	1	0.5771230158730161
OPTI	1	0.38506102362204736
DIE	1	33.56058070866141
DECB	1	2.264590551181103
DELB	0.17543859649122806	49.997372047244056
DEXB	1	0.042476377952755925
EZBG	1	2.0706791338582677
ECONB	1	7.869161417322837
ELI	1	36.31807086614174
EURN	1	9.113451612903225
EVS	1	43.92884842519686
EXM	1	11.846328740157487
FLUX	1	29.283908730158743
GBLB	0	71.92592519685043
SIP	0	60.26683070866143
SMAR	1	0.49785483870967734
SOF	0	86.65377952755907
TNET	1	43.71840551181101
TERB	0	58.27637795275589
TESB	1	19.346620964566924
TEXF	1	36.03946850393701
THR	1	19.298826771653545
TIG	1	0.7499232283464566
TUB	0.15789473684210525	50.27487204724409
UCB	0	56.81413385826773
UMI	1	34.63659448818896
VAN	1	37.85378937007872
VASTB	0	54.47848425196849
VGP	1	18.102066929133855
VIO	1	4.264448818897639
WEB	0	54.768840000000004
WDP	0	54.15183070866142
WEHB	0	90.06313008130081
ZENT	1	0.8365487068965519
ZTS	1	20.177381889763787
